sno;testname;firstName;lastName;email;dayOfBirth
1;testSaveUserValid;test;user;test1@user.com;2001-01-01
2;testSaveUserValid;ab;ab;test2@user.com;2021-09-05
3;testSaveUserValid;thirtycharacterlimit2627282930;fifteenchar1415;test3@user.com;2021-09-05
4;testSaveUserValid;test;user;a@b.co;2001-01-04
5;testSaveUserValid;test;user;test-5@user.com;2001-01-05
6;testSaveUserValid;test;user;test.6@user.com;2001-01-06
7;testSaveUserValid;test;user;test_7@user.com;2001-01-07
8;testSaveUserValid;test;user;test8@user-email.com;2001-01-08
9;testSaveUserInvalidFirstName;t;user;test9@user.com;2001-01-09
10;testSaveUserInvalidFirstName;abovethrirtycharactertocheckfailure;user;test10@user.com;2001-01-10
11;testSaveUserInvalidLastName;test;u;test11@user.com;2001-01-11
12;testSaveUserInvalidLastName;test;abovefifteenchar;test12@user.com;2001-01-12
13;testSaveUserInvalidEmail;test;user;test13@user;2001-01-13
14;testSaveUserInvalidEmail;test;user;test14@user.c;2001-01-14
15;testSaveUserInvalidEmail;test;user;test15@user..com;2001-01-15
16;testSaveUserInvalidEmail;test;user;test16@user#mail.com;2001-01-16
17;testSaveUserInvalidEmail;test;user;test17email;2001-01-17
18;testSaveUserInvalidDate;test;user;test18@email.com;2022-01-17
19;testSaveUserInvalidDate;test;user;test19@email.com;getCurrentDate
20;testSaveUserDuplicateEmail;test;user;provideDuplicateEmail;2001-01-20
